angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[552, 202, 213, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 202, 211, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 204, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 204, 213, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 204, 213, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 201, 213, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 200, 214, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 204, 212, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 205, 213, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 199, 215, 277]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 211, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 202, 212, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 204, 210, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 204, 209, 268]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 202, 211, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 202, 210, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 202, 212, 273]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 203, 211, 268]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 202, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 210, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 203, 211, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 204, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 202, 211, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 211, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 203, 213, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 211, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 210, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 203, 214, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 205, 212, 267]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 204, 213, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 206, 209, 265]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 206, 210, 266]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 205, 211, 268]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 205, 213, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 204, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 200, 211, 273]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 199, 213, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 202, 212, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 199, 213, 273]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 203, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 198, 214, 275]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 200, 212, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 199, 212, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 214, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 205, 211, 267]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 204, 212, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 200, 213, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 202, 213, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 202, 212, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 212, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 205, 212, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 203, 212, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[555, 204, 212, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 199, 212, 268]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 198, 212, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 199, 210, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 198, 213, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 193, 226, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[557, 194, 224, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 195, 223, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 197, 222, 286]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 196, 223, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[563, 196, 221, 286]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 196, 222, 287]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 196, 223, 286]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 197, 222, 285]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 197, 222, 285]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[556, 198, 224, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 198, 222, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 197, 223, 284]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 197, 222, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 197, 221, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 196, 222, 284]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 195, 221, 285]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 197, 218, 281]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 196, 219, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 195, 220, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[560, 195, 218, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 196, 219, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[562, 197, 220, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 193, 221, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[565, 197, 219, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[565, 199, 218, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[565, 202, 208, 264]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[566, 197, 218, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[564, 202, 209, 264]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[565, 198, 219, 280]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[564, 198, 219, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[564, 200, 219, 280]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[564, 197, 219, 283]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[563, 198, 220, 282]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[561, 194, 222, 286]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 190, 224, 290]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 190, 223, 288]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 193, 223, 287]",0.0,0.0,1.0,0.0,0.0,0.0
